,1y,6m,3m,1m,1w
GC=F,44.6146501002496,19.697300536908322,17.38221576946068,6.245793546684176,-0.549221153305072
SI=F,25.042624626124336,-3.703058069355155,1.9651514587174865,-3.390130903368935,-1.439574893999787
PL=F,3.941773810535905,-6.917222855093364,-3.75799431451365,-0.8914991399675724,0.6895854647372455
HG=F,5.597553395421235,11.252168329625945,12.406717621223168,-3.9649308552875717,-0.6185512074451094
PA=F,-2.038031717249308,-24.00162999185004,-7.1769836092107075,-5.93160380480596,-1.624646483534159
CL=F,-27.26717938407795,-11.337597136859943,-18.066826066072252,-16.30617597370688,-5.09635406319627
BZ=F,-28.864102474594883,-12.12036334882777,-18.693901695250016,-16.09611787839939,-6.0856541938968975
NG=F,68.80964169017572,43.26513742046743,10.305222736322348,-14.932926293900534,14.709897080479125
ZC=F,6.996587030716723,13.65558912386707,-4.07955124936257,1.8408229561451002,-1.466736511262441
ZW=F,-10.042735042735043,-7.756354075372481,-7.105030891438659,-2.6364477335800185,-0.5668398677373643
ZS=F,-8.598865124399826,8.46930846930847,0.28735632183908044,1.2327773749093547,-0.5698005698005698
KC=F,,,,,
CT=F,-15.041069681870297,-6.179139400807055,-0.10562803435956197,-3.003667475103022,-1.6344815061444398
SB=F,,,,,
OJ=F,,,,,
