,1m,1w
AAL,16.82438895149779,4.221386638897387
AAPL,4.25900676837323,-0.18100488282785893
ABNB,11.526641059871622,1.7215161633326985
ACAD,23.600290279273832,15.191546489952627
ACGL,4.37182491104234,2.117086893181721
ACHC,-11.964548671515473,4.51556646541532
ACMR,20.46688622230552,12.582453398177385
ACVA,19.15654288078362,8.387515944436132
ADBE,9.492933051030834,0.5825857436955886
ADI,16.343347049076307,4.951443063772199
ADMA,6.959310577207797,-15.731757428363007
ADP,5.307830060290521,1.2370081166358655
ADPT,16.89320186989302,-9.9700899962414
ADSK,11.894751658647865,2.6457683680249624
AEP,2.3389057046824435,-1.6997934928762781
AFRM,13.917520705312588,-10.904204815775168
AGNC,9.702650162399976,0.34246269620269976
AHCO,-4.296877536190928,-1.436781640694753
AKAM,5.0854500627932,-8.243078940915158
AKRO,14.445717470941144,-11.286731748643032
ALAB,20.964995259820675,-1.316707633465495
ALGM,2.3373063062086556,16.605746049721542
ALGN,13.575624813302797,2.40414630808355
ALHC,-23.559153889375906,-2.3255792462719835
ALKS,13.313271861091652,-4.044587494243785
ALKT,21.228357666704117,6.249998277322424
ALNY,10.990805750111637,-8.18862909744942
AMAT,12.565100135247349,0.6467886915803086
AMD,15.941375283134839,2.236802944541376
AMGN,-5.525751788560393,-5.070346472476971
AMKR,13.57098253505603,2.194706694439322
AMPL,18.091010799488128,12.951170458045114
AMZN,6.533493134386973,3.600746571132812
APA,16.397928149954918,7.8709633119644655
APLD,5.068221174357873,4.255315027951696
APLS,-7.929758413345878,-13.413415248135752
APP,24.527167216047875,8.84575024217211
ARCC,6.149190040179298,2.581581887825421
ARHS,-0.37546600538879715,-1.240699457364075
ARM,15.269763196380662,-5.043045551771965
ARQT,0.6696440133767019,-12.199871077588863
ARWR,17.28172939357385,-6.795420889643096
ASML,9.05968026376684,3.3437773810151152
ASO,3.976670072790732,3.7566190801674795
ASTS,11.32238940509844,4.080809005583175
ATAT,23.363673432807587,13.522135743576868
ATEC,28.12172487165675,1.919870656920826
ATRC,-2.054360401609021,6.60474749380817
AUR,13.92801818339068,-6.42673504519503
AVDX,28.703698622766865,18.226003443888487
AVGO,20.835747684635994,3.7265821453011947
AVPT,30.90278389461263,10.62206202285505
AVT,12.695566109494086,0.7191306148192984
AZN,4.162165614189756,-6.269936014257624
AZTA,0.8666146733317025,2.175571290938653
BBIO,5.756721499838309,-10.59655395710452
BCRX,55.538229397212355,-9.610149515904357
BEAM,19.002048607143355,-12.159434331583038
BGC,12.931037013956411,-2.550475823696932
BHF,24.212308186232082,1.979172282197006
BIDU,10.69198325363969,-3.766897236216818
BIIB,4.224731902948554,-2.9802995007068778
BILI,10.113069112034568,-4.1028444848359005
BKR,0.1631509099320276,-0.08214342530353844
BMRN,4.509944831837008,-5.156301469752543
BNTX,-0.3758656499056772,-8.239368898889692
BPMC,21.05394572398889,-4.5809406957009955
BRKR,-1.4447051260032493,-7.8811665125209265
BSY,11.995196782449458,6.24857873161355
BTDR,85.78947450975963,37.75609644447885
BTSG,31.07409474340847,7.895981590613356
BULL,36.52245609369302,12.783502627454638
BZ,11.180987986569653,-3.046922636497471
CAKE,10.637827298026687,-0.5357151777565614
CAR,46.93099085344684,8.130834842706925
CARG,16.974031918262966,10.960370116879409
CART,13.393788051853795,-7.050328486018839
CCCS,2.270145286483859,-1.95864374015518
CCEP,5.306509294728482,-0.40062386813526424
CDNS,20.37634581381959,-0.9875944453519118
CDW,21.976827650881813,7.957769195418551
CEG,32.70574983003714,9.30438250582046
CELH,0.6569988680175269,8.498085334858162
CENX,8.469943593162025,-3.052497386710996
CERT,13.986672515143095,-6.259782530909906
CFLT,-2.6861437948562887,4.55696009382417
CG,14.769313922082494,3.8024713963638117
CGNX,25.671634774226053,5.287601123039252
CGON,34.65684005220272,-15.755856941002689
CHA,,-8.857876833629657
CHDN,-7.196565260263588,4.773455930720958
CHRW,-1.440119054732604,-1.0784981035941794
CHTR,19.75139640639076,1.8998632653933256
CHX,7.310821019422828,2.2403305967476403
CIFR,34.23423336345785,0.0
CLOV,-4.35967527260273,4.776122101061297
CLSK,29.032253318365235,13.720638266269635
CMCSA,1.6923981284424867,-0.5805537257189541
CME,10.04682456108027,0.633496800816855
COIN,17.50973532720127,-0.04011362824170841
COLB,15.54805100458611,1.2267382530235187
COLM,0.6549890254096602,6.3405253944411735
COMM,40.11628172924993,1.473687824450041
COO,9.154827710016614,0.858154898689553
CORT,3.691126348872493,-5.017580419222524
CORZ,36.6568835811896,6.5142822265625
COST,4.676241644034358,-0.6700221398201751
CPRT,4.875555093404483,0.7698627789954331
CPRX,8.951048988358327,-3.827154020683195
CRDO,32.84518045841606,4.333540090087655
CROX,14.94240486184964,8.909609729109187
CRSP,3.969645875600556,-5.316321256736941
CRWD,11.383311261260813,-7.418764246944165
CRWV,21.72985308805614,0.7057451915257031
CSCO,5.619367903518831,0.7585987276711273
CSGP,-1.127020014263387,-3.281451140554923
