,1m,1w
AAL,25.369974723598265,1.6281026490244817
AAOI,75.32833772596088,2.4671094768981283
AAPL,7.3901046161006025,0.2229713153722297
ABNB,22.44898290758332,2.8239274990969907
ACAD,51.12016918299438,27.05479250725544
ACGL,2.182128821136151,-0.042270861976484886
ACHC,9.368464179896721,1.1996883286060516
ACIW,-4.063603750744649,0.225596009307048
ACLX,-5.2241239189820305,-1.2100860852153361
ACMR,22.572307820838493,-3.6149523422387606
ACVA,19.07757104023739,1.42858148432148
ADBE,19.590028520987573,5.351821566587499
ADI,28.842114429921455,1.7745941394487197
ADMA,-7.602059936575062,-3.7163823986703584
ADP,8.895934413012675,3.229035515129372
ADPT,23.4652153469488,-4.8370139545312965
ADSK,14.8803272709438,1.6643840934728815
AEP,-3.482389843798462,2.0299070156662093
AFRM,24.86936247073511,-2.17715286025268
AGNC,11.547772260992684,2.000003390842014
AHCO,15.78948012752058,-0.9879166004974391
AKAM,6.221072354723438,-0.9645921149884048
AKRO,3.295237386586763,-6.405008248490838
ALAB,53.59565631751014,12.805180537630934
ALGM,52.32558716715524,10.793396348813891
ALHC,-13.486842483639833,5.7640727364584965
ALKS,16.37037065294054,0.47969176953763604
ALKT,24.80807834201389,1.9135596632318241
ALNY,21.636255341161704,5.596060172680313
AMAT,20.44958477913109,-1.4405608011268196
AMD,33.9085693359375,8.370324817300633
AMGN,-0.8917083877191105,0.020886401395175756
AMKR,23.54414034024973,0.5094263155629258
AMPL,49.021994200541144,1.837922376330075
AMZN,19.10665408198905,-1.4618496264763394
APA,10.97678112646735,-0.6775772901647148
APLD,72.91138838621467,28.625235354162047
APLS,-4.120878948132905,-0.3995416266852873
APP,52.103095659962804,4.150618768249473
ARCC,7.4019620446964725,1.482166246237205
ARHS,8.930818304165493,1.8823511460248161
ARM,34.97468696799025,8.933586550259257
ARQT,8.455030041839986,-1.945800416713914
ARRY,77.36720470344252,12.280696739939712
ARWR,39.76868645953833,12.455259397702457
ASML,17.223327967035956,-0.2799302301949586
ASO,19.49802210206457,-2.500538613223078
ASTS,13.980335797746344,-1.8409425729346667
ATAT,23.767746448519315,-0.13481939812768692
