,6m,3m,1m
AAL,-10.934107045622714,-24.354243434222223,28.39248735585133
AAPL,-5.955396243642363,-9.988930014496379,5.278103630419656
ABNB,2.5555325947615457,-1.7577577181921527,21.93075566449856
ACAD,-2.604751350210597,-9.947641783157234,15.746979544583922
ACGL,-3.5405792600932364,5.8463583818526565,0.5922207452325322
ACHC,-34.00293793369754,-34.73836886940798,2.0841271585058068
ACIW,-15.255988157537992,-4.765593055743281,-5.697297448397128
ACLX,-43.47952515050029,-7.999682123616679,-3.399667102815835
ACVA,-15.946344849973713,-21.192358558811947,17.991631075683433
ADBE,-19.665238178139795,-14.123955071710636,13.248408352342137
ADI,1.2534180364087544,10.986321197582727,26.920484282849756
ADMA,-12.11318115300148,25.505043997860493,-4.925876107899561
ADP,2.201154750584642,1.0377338858202583,2.1985690862476797
ADSK,-2.7981371453340245,-0.09081977084920438,13.92352403064751
AEP,5.173955955583875,-1.8582551812254746,-5.753355482456995
AFRM,16.049912129826428,-28.707380364928266,32.27072153345222
AGNC,1.2042890106339916,-7.491133652318557,8.905320253588387
AKAM,-11.670582952482542,-21.88798303142894,6.459879726173165
AKRO,16.139324921510806,-19.0736257425408,6.409574322378861
ALAB,-11.621350010948527,0.29714529854910715,47.71924316046481
ALGM,21.030831988475505,7.654518659537571,19.491135681813002
ALGN,-13.64563833271413,-7.2659970950784425,14.974039236150267
ALHC,2.7798106241411173,-3.23691633754395,-26.555144761585897
ALKS,6.860705129459138,-7.940298051976447,11.98256763746138
ALKT,-17.63928858261177,-5.255157141897013,26.788618091046434
ALNY,-3.8099728231516035,0.33839446736348244,11.18703031509041
AMAT,-9.474355125083234,-4.124856141129315,19.719089628943156
AMD,-23.98783277851983,0.6623682918761017,19.005290036479
AMGN,-15.514263351723203,-7.600155978913653,-7.9851660820890835
AMKR,-25.04759225846381,-7.844122225366565,18.080092918659105
AMZN,1.5323290199045918,-7.670466133925421,16.060839437854533
APA,-12.895500675399536,-16.125970034032814,23.4383024095283
APLS,-42.361571212497346,-39.38968590698173,-10.605272866796318
APP,27.616286900792254,-2.687211039094949,56.77553040239456
ARCC,5.777341662505138,-2.7552166165283873,8.791209733460896
ARM,-14.103604573456929,-18.486585599340202,20.578720016173794
ARWR,-30.19643600265722,-17.71674752784195,23.824955786299054
ASML,14.671381644077172,1.3093184102133846,13.851214379247278
ASO,-9.004083194386382,-11.339765513165775,24.93959977322777
ASTS,20.736696286516207,-3.8391935887665247,15.888255844137896
ATAT,11.56309487906691,1.2303506751042832,24.24496916799757
AUR,30.481283377006573,13.488378110438445,21.393033448899786
AVDX,-3.4756647309066255,-2.0161270940217118,25.419358284242694
AVGO,27.285951134234615,-1.3652271412294672,30.309484959407566
AVPT,34.251170652809584,3.307490320575521,37.86206738702182
AVT,-6.218779113478816,5.943689598952206,13.232430122994089
AZN,6.50845143179068,-7.715571031605055,-0.4264092139659759
BBIO,22.775925190815833,4.100148755280431,-4.562410967588973
BCRX,29.30591450285468,14.57859596326377,42.897734007497995
BGC,-18.241379477306488,-1.0655527967414677,9.239765429585653
BHF,18.352802941614286,2.205500194582817,18.376235206528467
BIDU,2.3943314695804045,-2.4105421987108335,6.8629735109455945
BIIB,-28.825700161432422,-7.696911921914518,3.27016724469277
BILI,-18.548032340662086,-1.761878973685513,8.171660029071088
BKR,-10.256276447013438,-17.21514095743229,1.6145271605551192
BMRN,-10.86924250588585,-9.231706308394813,0.1843482717061843
BPMC,-1.4132728611326129,-4.012165775637448,20.447110444200312
BRKR,-32.7634228895538,-24.913488055573485,-3.077306741735173
BSY,-0.6207300348428763,4.645134701584278,11.953486952670785
BTDR,61.049109863174344,-10.705442812942682,83.35451734445202
BTSG,18.75319434606108,7.24503779093998,35.90642837822388
BULL,21.864114363831085,20.075527797056534,-77.75834748531403
BZ,18.670246265090583,10.853202894934105,21.526823402013406
CAKE,16.812740896536557,5.1137797198855495,14.449876267915945
CAR,14.416354992825331,27.228141085482445,49.1584767491804
CARG,-3.562199452879724,-14.558414577289028,24.333332203052663
CART,-7.14585029376046,-11.820892789470616,6.004789909194689
CCCS,-20.683608135301732,-16.819852063026303,1.3437836669449017
CCEP,14.138354908024734,7.371913066709161,-0.6480214879002191
CDNS,5.779254327671162,8.369330688926182,22.298129662228874
CDW,-3.9420534720143037,1.259922479024656,25.662307745449137
CEG,22.2057014539463,-6.926182660150819,41.03531365153753
CELH,31.245677528852276,78.24247688572285,1.5800753887972332
CFLT,-12.754713814213591,-38.59229773645094,7.534887624341388
CG,-10.940739049173132,-7.344446326485123,25.635422325768474
CGNX,-26.01339949149219,-19.27038355660445,29.284252040862974
CHA,,,
CHDN,-32.11792724939128,-18.6435075525641,-3.208031930839638
CHRW,-10.223483526996672,-0.6742786719947398,4.232971653624342
CHTR,4.4245799715047305,15.954988637676228,20.77849948723475
CHX,-14.119572989520604,-9.634541050055356,7.271244770958435
CLBT,8.113918212565338,-19.261634118639993,5.616806535567898
CLSK,-26.30803076720676,-4.942969915746685,28.534700903900585
CMCSA,-19.37905895280178,0.5887980573987663,1.8740830484691058
CME,23.062101823133176,8.317353493359422,1.7634320047904113
COIN,-5.111914322634634,-6.547835721952774,45.48646009318594
COLB,-13.847141771491092,-4.627394869177311,19.561160220044986
COLM,-17.162688381706133,-13.320885084736322,1.5988070360746671
COO,-21.19517866387425,-11.130432460619055,3.8090400185755797
CORT,18.43959420324733,0.6272199607143288,4.686335486301769
CORZ,-39.622639599708684,-15.301905360801257,45.042490851446786
COST,6.106908876820273,-6.082721710274682,2.1455350844944814
CPRT,11.172488555058312,5.709926983644179,4.278785693208832
CPRX,-1.1700822527150028,4.185016844324563,3.728071973301134
CRDO,23.062499364217125,-17.210930682431442,51.07417391312832
CROX,18.716681651811314,35.38219031555615,32.44493182195145
CRSP,-27.89616042066017,-14.041566105048659,-4.096882495041926
CRWD,33.38181796661736,1.2815514947525466,16.252048790406718
CRWV,,,45.0584669483297
CSCO,7.847512221303991,-0.5397911006291104,7.6119124603721
CSGP,-2.8556649462491945,2.6068018965715622,-5.469632265672156
CSX,-14.540386047219132,-6.851347214625515,8.029714966418656
CTAS,-4.250043543164455,5.438864644645188,2.7239799861053444
CTSH,1.9402603422909135,-7.415176086562754,14.771924085744011
CYTK,-47.20593161085956,-27.43006071862095,-23.10977253347155
CZR,-25.26934293894775,-14.269657960941357,20.727846632877124
DASH,15.402572984464344,-1.5381533910492151,8.770963108553799
DBX,9.837277209131459,-6.896548219119322,11.069562517417753
DDOG,-5.73724352329065,-20.784657667940962,27.677406470786302
